
@relation seraj
@attribute filename string
@attribute class  {kha, noon ,jeem ,zay,laa,alef,dha,wow,thaa,lam,raa,fa,ghain,sheen,dhad,saad,gaf,taO,AL,thal,meem,taa,tta,ain,haa,baa,yaa,dal,seen}
@data
zay(29).jpg,zay
zay(30).jpg,zay
laa(1).jpg,laa
laa(2).jpg,laa
laa(3).jpg,laa
laa(4).jpg,laa
laa(5).jpg,laa
laa(6).jpg,laa
laa(7).jpg,laa
laa(8).jpg,laa
laa(9).jpg,laa
laa(10).jpg,laa
laa(11).jpg,laa
laa(12).jpg,laa
laa(13).jpg,laa
laa(14).jpg,laa
laa(15).jpg,laa
laa(16).jpg,laa
laa(17).jpg,laa
laa(18).jpg,laa
laa(19).jpg,laa
laa(20).jpg,laa
laa(21).jpg,laa
laa(22).jpg,laa
laa(23).jpg,laa
laa(24).jpg,laa
laa(25).jpg,laa
laa(26).jpg,laa
laa(27).jpg,laa
laa(28).jpg,laa
laa(29).jpg,laa
laa(30).jpg,laa
alef(1).jpg,alef
alef(2).jpg,alef
alef(3).jpg,alef
alef(4).jpg,alef
alef(5).jpg,alef
alef(6).jpg,alef
alef(7).jpg,alef
alef(8).jpg,alef
alef(9).jpg,alef
alef(10).jpg,alef
alef(11).jpg,alef
alef(12).jpg,alef
alef(13).jpg,alef
alef(14).jpg,alef
alef(15).jpg,alef
alef(16).jpg,alef
alef(17).jpg,alef
alef(18).jpg,alef
alef(19).jpg,alef
alef(20).jpg,alef
alef(21).jpg,alef
alef(22).jpg,alef
alef(23).jpg,alef
alef(24).jpg,alef
alef(25).jpg,alef
alef(26).jpg,alef
alef(27).jpg,alef
alef(28).jpg,alef
alef(29).jpg,alef
alef(30).jpg,alef
dha(1).jpg,dha
dha(2).jpg,dha
dha(3).jpg,dha
dha(4).jpg,dha
dha(5).jpg,dha
dha(6).jpg,dha
dha(7).jpg,dha
dha(8).jpg,dha
dha(9).jpg,dha
dha(10).jpg,dha
dha(11).jpg,dha
dha(12).jpg,dha
dha(13).jpg,dha
dha(14).jpg,dha
dha(15).jpg,dha
dha(16).jpg,dha
dha(17).jpg,dha
dha(18).jpg,dha
dha(19).jpg,dha
dha(20).jpg,dha
dha(21).jpg,dha
dha(22).jpg,dha
dha(23).jpg,dha
dha(24).jpg,dha
dha(25).jpg,dha
dha(26).jpg,dha
dha(27).jpg,dha
dha(28).jpg,dha
dha(29).jpg,dha
dha(30).jpg,dha
wow(1).jpg,wow
wow(2).jpg,wow
wow(3).jpg,wow
wow(4).jpg,wow
wow(5).jpg,wow
wow(6).jpg,wow
wow(7).jpg,wow
wow(8).jpg,wow
wow(9).jpg,wow
wow(10).jpg,wow
wow(11).jpg,wow
wow(12).jpg,wow
wow(13).jpg,wow
wow(14).jpg,wow
wow(15).jpg,wow
wow(16).jpg,wow
wow(17).jpg,wow
wow(18).jpg,wow
wow(19).jpg,wow
wow(20).jpg,wow
wow(21).jpg,wow
wow(22).jpg,wow
wow(23).jpg,wow
wow(24).jpg,wow
wow(25).jpg,wow
wow(26).jpg,wow
wow(27).jpg,wow
wow(28).jpg,wow
wow(29).jpg,wow
wow(30).jpg,wow
thaa(1).jpg,thaa
thaa(2).jpg,thaa
thaa(3).jpg,thaa
thaa(4).jpg,thaa
thaa(5).jpg,thaa
thaa(6).jpg,thaa
thaa(7).jpg,thaa
thaa(8).jpg,thaa
thaa(9).jpg,thaa
thaa(10).jpg,thaa
thaa(11).jpg,thaa
thaa(12).jpg,thaa
thaa(13).jpg,thaa
thaa(14).jpg,thaa
thaa(15).jpg,thaa
thaa(16).jpg,thaa
thaa(17).jpg,thaa
thaa(18).jpg,thaa
thaa(19).jpg,thaa
thaa(20).jpg,thaa
thaa(21).jpg,thaa
thaa(22).jpg,thaa
thaa(23).jpg,thaa
thaa(24).jpg,thaa
thaa(25).jpg,thaa
thaa(26).jpg,thaa
thaa(27).jpg,thaa
thaa(28).jpg,thaa
thaa(29).jpg,thaa
thaa(30).jpg,thaa
lam(1).jpg,lam
lam(2).jpg,lam
lam(3).jpg,lam
lam(4).jpg,lam
lam(5).jpg,lam
lam(6).jpg,lam
lam(7).jpg,lam
lam(8).jpg,lam
lam(9).jpg,lam
lam(10).jpg,lam
lam(11).jpg,lam
lam(12).jpg,lam
lam(13).jpg,lam
lam(14).jpg,lam
lam(15).jpg,lam
lam(16).jpg,lam
lam(17).jpg,lam
lam(18).jpg,lam
lam(19).jpg,lam
lam(20).jpg,lam
lam(21).jpg,lam
lam(22).jpg,lam
lam(23).jpg,lam
lam(24).jpg,lam
lam(25).jpg,lam
lam(26).jpg,lam
lam(27).jpg,lam
lam(28).jpg,lam
lam(29).jpg,lam
lam(30).jpg,lam
raa(1).jpg,raa
raa(2).jpg,raa
raa(3).jpg,raa
raa(4).jpg,raa
raa(5).jpg,raa
raa(6).jpg,raa
raa(7).jpg,raa
raa(8).jpg,raa
raa(9).jpg,raa
raa(10).jpg,raa
raa(11).jpg,raa
raa(12).jpg,raa
raa(13).jpg,raa
raa(14).jpg,raa
raa(15).jpg,raa
raa(16).jpg,raa
raa(17).jpg,raa
raa(18).jpg,raa
raa(19).jpg,raa
raa(20).jpg,raa
raa(21).jpg,raa
raa(22).jpg,raa
raa(23).jpg,raa
raa(24).jpg,raa
raa(25).jpg,raa
raa(26).jpg,raa
raa(27).jpg,raa
raa(28).jpg,raa
raa(29).jpg,raa
raa(30).jpg,raa
fa(1).jpg,fa
fa(2).jpg,fa
fa(3).jpg,fa
fa(4).jpg,fa
fa(5).jpg,fa
fa(6).jpg,fa
fa(7).jpg,fa
fa(8).jpg,fa
fa(9).jpg,fa
fa(10).jpg,fa
fa(11).jpg,fa
fa(12).jpg,fa
fa(13).jpg,fa
fa(14).jpg,fa
fa(15).jpg,fa
fa(16).jpg,fa
fa(17).jpg,fa
fa(18).jpg,fa
fa(19).jpg,fa
fa(20).jpg,fa
fa(21).jpg,fa
fa(22).jpg,fa
fa(23).jpg,fa
fa(24).jpg,fa
fa(25).jpg,fa
fa(26).jpg,fa
fa(27).jpg,fa
fa(28).jpg,fa
fa(29).jpg,fa
fa(30).jpg,fa
ghain(1).jpg,ghain
ghain(2).jpg,ghain
ghain(3).jpg,ghain
ghain(4).jpg,ghain
ghain(5).jpg,ghain
ghain(6).jpg,ghain
ghain(7).jpg,ghain
ghain(8).jpg,ghain
ghain(9).jpg,ghain
ghain(10).jpg,ghain
ghain(11).jpg,ghain
ghain(12).jpg,ghain
ghain(13).jpg,ghain
ghain(14).jpg,ghain
ghain(15).jpg,ghain
ghain(16).jpg,ghain
ghain(17).jpg,ghain
ghain(18).jpg,ghain
ghain(19).jpg,ghain
ghain(20).jpg,ghain
ghain(21).jpg,ghain
ghain(22).jpg,ghain
ghain(23).jpg,ghain
ghain(24).jpg,ghain
ghain(25).jpg,ghain
ghain(26).jpg,ghain
ghain(27).jpg,ghain
ghain(28).jpg,ghain
ghain(29).jpg,ghain
ghain(30).jpg,ghain
sheen(1).jpg,sheen
sheen(2).jpg,sheen
sheen(3).jpg,sheen
sheen(4).jpg,sheen
sheen(5).jpg,sheen
sheen(6).jpg,sheen
sheen(7).jpg,sheen
sheen(8).jpg,sheen
sheen(9).jpg,sheen
sheen(10).jpg,sheen
sheen(11).jpg,sheen
sheen(12).jpg,sheen
sheen(13).jpg,sheen
sheen(14).jpg,sheen
sheen(15).jpg,sheen
sheen(16).jpg,sheen
sheen(17).jpg,sheen
sheen(18).jpg,sheen
sheen(19).jpg,sheen
sheen(20).jpg,sheen
sheen(21).jpg,sheen
sheen(22).jpg,sheen
sheen(23).jpg,sheen
sheen(24).jpg,sheen
sheen(25).jpg,sheen
sheen(26).jpg,sheen
sheen(27).jpg,sheen
sheen(28).jpg,sheen
sheen(29).jpg,sheen
sheen(30).jpg,sheen
dhad(1).jpg,dhad
dhad(2).jpg,dhad
dhad(3).jpg,dhad
dhad(4).jpg,dhad
dhad(5).jpg,dhad
dhad(6).jpg,dhad
dhad(7).jpg,dhad
dhad(8).jpg,dhad
dhad(9).jpg,dhad
dhad(10).jpg,dhad
dhad(11).jpg,dhad
dhad(12).jpg,dhad
dhad(13).jpg,dhad
dhad(14).jpg,dhad
dhad(15).jpg,dhad
dhad(16).jpg,dhad
dhad(17).jpg,dhad
dhad(18).jpg,dhad
dhad(19).jpg,dhad
dhad(20).jpg,dhad
dhad(21).jpg,dhad
dhad(22).jpg,dhad
dhad(23).jpg,dhad
dhad(24).jpg,dhad
dhad(25).jpg,dhad
dhad(26).jpg,dhad
dhad(27).jpg,dhad
dhad(28).jpg,dhad
dhad(29).jpg,dhad
dhad(30).jpg,dhad
saad(1).jpg,saad
saad(2).jpg,saad
saad(3).jpg,saad
saad(4).jpg,saad
saad(5).jpg,saad
saad(6).jpg,saad
saad(7).jpg,saad
saad(8).jpg,saad
saad(9).jpg,saad
saad(10).jpg,saad
saad(11).jpg,saad
saad(12).jpg,saad
saad(13).jpg,saad
saad(14).jpg,saad
saad(15).jpg,saad
saad(16).jpg,saad
saad(17).jpg,saad
saad(18).jpg,saad
saad(19).jpg,saad
saad(20).jpg,saad
saad(21).jpg,saad
saad(22).jpg,saad
saad(23).jpg,saad
saad(24).jpg,saad
saad(25).jpg,saad
saad(26).jpg,saad
saad(27).jpg,saad
saad(28).jpg,saad
saad(29).jpg,saad
saad(30).jpg,saad
gaf(1).jpg,gaf
gaf(2).jpg,gaf
gaf(3).jpg,gaf
gaf(4).jpg,gaf
gaf(5).jpg,gaf
gaf(6).jpg,gaf
gaf(7).jpg,gaf
gaf(8).jpg,gaf
gaf(9).jpg,gaf
gaf(10).jpg,gaf
gaf(11).jpg,gaf
gaf(12).jpg,gaf
gaf(13).jpg,gaf
gaf(14).jpg,gaf
gaf(15).jpg,gaf
gaf(16).jpg,gaf
gaf(17).jpg,gaf
gaf(18).jpg,gaf
gaf(19).jpg,gaf
gaf(20).jpg,gaf
gaf(21).jpg,gaf
gaf(22).jpg,gaf
gaf(23).jpg,gaf
gaf(24).jpg,gaf
gaf(25).jpg,gaf
gaf(26).jpg,gaf
gaf(27).jpg,gaf
gaf(28).jpg,gaf
gaf(29).jpg,gaf
gaf(30).jpg,gaf
taO(1).jpg,taO
taO(2).jpg,taO
taO(3).jpg,taO
taO(4).jpg,taO
taO(5).jpg,taO
taO(6).jpg,taO
taO(7).jpg,taO
taO(8).jpg,taO
taO(9).jpg,taO
taO(10).jpg,taO
taO(11).jpg,taO
taO(12).jpg,taO
taO(13).jpg,taO
taO(14).jpg,taO
taO(15).jpg,taO
taO(16).jpg,taO
taO(17).jpg,taO
taO(18).jpg,taO
taO(19).jpg,taO
taO(20).jpg,taO
taO(21).jpg,taO
taO(22).jpg,taO
taO(23).jpg,taO
taO(24).jpg,taO
taO(25).jpg,taO
taO(26).jpg,taO
taO(27).jpg,taO
taO(28).jpg,taO
taO(29).jpg,taO
taO(30).jpg,taO
AL(1).jpg,AL
AL(2).jpg,AL
AL(3).jpg,AL
AL(4).jpg,AL
AL(5).jpg,AL
AL(6).jpg,AL
AL(7).jpg,AL
AL(8).jpg,AL
AL(9).jpg,AL
AL(10).jpg,AL
AL(11).jpg,AL
AL(12).jpg,AL
AL(13).jpg,AL
AL(14).jpg,AL
AL(15).jpg,AL
AL(16).jpg,AL
AL(17).jpg,AL
AL(18).jpg,AL
AL(19).jpg,AL
AL(20).jpg,AL
AL(21).jpg,AL
AL(22).jpg,AL
AL(23).jpg,AL
AL(24).jpg,AL
AL(25).jpg,AL
AL(26).jpg,AL
AL(27).jpg,AL
AL(28).jpg,AL
AL(29).jpg,AL
AL(30).jpg,AL
thal(1).jpg,thal
thal(2).jpg,thal
thal(3).jpg,thal
thal(4).jpg,thal
thal(5).jpg,thal
thal(6).jpg,thal
thal(7).jpg,thal
thal(8).jpg,thal
thal(9).jpg,thal
thal(10).jpg,thal
thal(11).jpg,thal
thal(12).jpg,thal
thal(13).jpg,thal
thal(14).jpg,thal
thal(15).jpg,thal
thal(16).jpg,thal
thal(17).jpg,thal
thal(18).jpg,thal
thal(19).jpg,thal
thal(20).jpg,thal
thal(21).jpg,thal
thal(22).jpg,thal
thal(23).jpg,thal
thal(24).jpg,thal
thal(25).jpg,thal
thal(26).jpg,thal
thal(27).jpg,thal
thal(28).jpg,thal
thal(29).jpg,thal
thal(30).jpg,thal
meem(1).jpg,meem
meem(2).jpg,meem
meem(3).jpg,meem
meem(4).jpg,meem
meem(5).jpg,meem
meem(6).jpg,meem
meem(7).jpg,meem
meem(8).jpg,meem
meem(9).jpg,meem
meem(10).jpg,meem
meem(11).jpg,meem
meem(12).jpg,meem
meem(13).jpg,meem
meem(14).jpg,meem
meem(15).jpg,meem
meem(16).jpg,meem
meem(17).jpg,meem
meem(18).jpg,meem
meem(19).jpg,meem
meem(20).jpg,meem
meem(21).jpg,meem
meem(22).jpg,meem
meem(23).jpg,meem
meem(24).jpg,meem
meem(25).jpg,meem
meem(26).jpg,meem
meem(27).jpg,meem
meem(28).jpg,meem
meem(29).jpg,meem
meem(30).jpg,meem
taa(1).jpg,taa
taa(2).jpg,taa
taa(3).jpg,taa
taa(4).jpg,taa
taa(5).jpg,taa
taa(6).jpg,taa
taa(7).jpg,taa
taa(8).jpg,taa
taa(9).jpg,taa
taa(10).jpg,taa
taa(11).jpg,taa
taa(12).jpg,taa
taa(13).jpg,taa
taa(14).jpg,taa
taa(15).jpg,taa
taa(16).jpg,taa
taa(17).jpg,taa
taa(18).jpg,taa
taa(19).jpg,taa
taa(20).jpg,taa
taa(21).jpg,taa
taa(22).jpg,taa
taa(23).jpg,taa
taa(24).jpg,taa
taa(25).jpg,taa
taa(26).jpg,taa
taa(27).jpg,taa
taa(28).jpg,taa
taa(29).jpg,taa
taa(30).jpg,taa
tta(1).jpg,tta
tta(2).jpg,tta
tta(3).jpg,tta
tta(4).jpg,tta
tta(5).jpg,tta
tta(6).jpg,tta
tta(7).jpg,tta
tta(8).jpg,tta
tta(9).jpg,tta
tta(10).jpg,tta
tta(11).jpg,tta
tta(12).jpg,tta
tta(13).jpg,tta
tta(14).jpg,tta
tta(15).jpg,tta
tta(16).jpg,tta
tta(17).jpg,tta
tta(18).jpg,tta
tta(19).jpg,tta
tta(20).jpg,tta
tta(21).jpg,tta
tta(22).jpg,tta
tta(23).jpg,tta
tta(24).jpg,tta
tta(25).jpg,tta
tta(26).jpg,tta
tta(27).jpg,tta
tta(28).jpg,tta
tta(29).jpg,tta
tta(30).jpg,tta
haa(1).jpg,haa
haa(2).jpg,haa
haa(3).jpg,haa
haa(4).jpg,haa
haa(5).jpg,haa
haa(6).jpg,haa
haa(7).jpg,haa
haa(8).jpg,haa
haa(9).jpg,haa
haa(10).jpg,haa
haa(11).jpg,haa
haa(12).jpg,haa
haa(13).jpg,haa
haa(14).jpg,haa
haa(15).jpg,haa
haa(16).jpg,haa
haa(17).jpg,haa
haa(18).jpg,haa
haa(19).jpg,haa
haa(20).jpg,haa
haa(21).jpg,haa
haa(22).jpg,haa
haa(23).jpg,haa
haa(24).jpg,haa
haa(25).jpg,haa
haa(26).jpg,haa
haa(27).jpg,haa
haa(28).jpg,haa
haa(29).jpg,haa
haa(30).jpg,haa
baa(1).jpg,baa
baa(2).jpg,baa
baa(3).jpg,baa
baa(4).jpg,baa
baa(5).jpg,baa
baa(6).jpg,baa
baa(7).jpg,baa
baa(8).jpg,baa
baa(9).jpg,baa
baa(10).jpg,baa
baa(11).jpg,baa
baa(12).jpg,baa
baa(13).jpg,baa
baa(14).jpg,baa
baa(15).jpg,baa
baa(16).jpg,baa
baa(17).jpg,baa
baa(18).jpg,baa
baa(19).jpg,baa
baa(20).jpg,baa
baa(21).jpg,baa
baa(22).jpg,baa
baa(23).jpg,baa
baa(24).jpg,baa
baa(25).jpg,baa
baa(26).jpg,baa
baa(27).jpg,baa
baa(28).jpg,baa
baa(29).jpg,baa
baa(30).jpg,baa
yaa(1).jpg,yaa
yaa(2).jpg,yaa
yaa(3).jpg,yaa
yaa(4).jpg,yaa
yaa(5).jpg,yaa
yaa(6).jpg,yaa
yaa(7).jpg,yaa
yaa(8).jpg,yaa
yaa(9).jpg,yaa
yaa(10).jpg,yaa
yaa(11).jpg,yaa
yaa(12).jpg,yaa
yaa(13).jpg,yaa
yaa(14).jpg,yaa
yaa(15).jpg,yaa
yaa(16).jpg,yaa
yaa(17).jpg,yaa
yaa(18).jpg,yaa
yaa(19).jpg,yaa
yaa(20).jpg,yaa
yaa(21).jpg,yaa
yaa(22).jpg,yaa
yaa(23).jpg,yaa
yaa(24).jpg,yaa
yaa(25).jpg,yaa
yaa(26).jpg,yaa
yaa(27).jpg,yaa
yaa(28).jpg,yaa
yaa(29).jpg,yaa
yaa(30).jpg,yaa
dal(1).jpg,dal
dal(2).jpg,dal
dal(3).jpg,dal
dal(4).jpg,dal
dal(5).jpg,dal
dal(6).jpg,dal
dal(7).jpg,dal
dal(8).jpg,dal
dal(9).jpg,dal
dal(10).jpg,dal
dal(11).jpg,dal
dal(12).jpg,dal
dal(13).jpg,dal
dal(14).jpg,dal
dal(15).jpg,dal
dal(16).jpg,dal
dal(17).jpg,dal
dal(18).jpg,dal
dal(19).jpg,dal
dal(20).jpg,dal
dal(21).jpg,dal
dal(22).jpg,dal
dal(23).jpg,dal
dal(24).jpg,dal
dal(25).jpg,dal
dal(26).jpg,dal
dal(27).jpg,dal
dal(28).jpg,dal
dal(29).jpg,dal
dal(30).jpg,dal
seen(1).jpg,seen
seen(2).jpg,seen
seen(3).jpg,seen
seen(4).jpg,seen
seen(5).jpg,seen
seen(6).jpg,seen
seen(7).jpg,seen
seen(8).jpg,seen
seen(9).jpg,seen
seen(10).jpg,seen
seen(11).jpg,seen
seen(12).jpg,seen
seen(13).jpg,seen
seen(14).jpg,seen
seen(15).jpg,seen
seen(16).jpg,seen
seen(17).jpg,seen
seen(18).jpg,seen
seen(19).jpg,seen
seen(20).jpg,seen
seen(21).jpg,seen
seen(22).jpg,seen
seen(23).jpg,seen
seen(24).jpg,seen
seen(25).jpg,seen
seen(26).jpg,seen
seen(27).jpg,seen
seen(28).jpg,seen
seen(29).jpg,seen
seen(30).jpg,seen
ain(1).jpg,ain
ain(2).jpg,ain
ain(3).jpg,ain
ain(4).jpg,ain
ain(5).jpg,ain
ain(6).jpg,ain
ain(7).jpg,ain
ain(8).jpg,ain
ain(9).jpg,ain
ain(10).jpg,ain
ain(11).jpg,ain
ain(12).jpg,ain
ain(13).jpg,ain
ain(14).jpg,ain
ain(15).jpg,ain
ain(16).jpg,ain
ain(17).jpg,ain
ain(18).jpg,ain
ain(19).jpg,ain
ain(20).jpg,ain
